hundename,geburtsjahr_hund,geschlecht_hund
"Blueboy",2012,"m"
"Blues",2007,"m"
"Bluette",2017,"w"
"Bo",2005,"m"
"Bo",2016,"w"
"Bo (BBY)",2012,"m"
"Boa Zeus",2014,"m"
"Bob",2009,"m"
"Bobbi",2007,"m"
"Bobbi",2012,"m"
"Bobbi",2015,"m"
"Bobbi",2009,"m"
"Bobby",2017,"w"
"Bobby",2014,"m"
"Bobby",2014,"m"
"Bobby",2005,"m"
"Bobby",2011,"m"
"Bobby",2013,"m"
"Bobby",2012,"m"
"Bobby",2014,"m"
"Bobby",2006,"m"
"Bobby",2008,"m"
"Bobby",2017,"m"
"Bobby",2012,"m"
"Bobby",2008,"m"
"Bobby",2010,"m"
"Bobby",2005,"m"
"Bobby",2005,"m"
"Bobby Levi",2014,"m"
"Bobby-Jack",2016,"m"
"Bobet",2006,"w"
"Bobi",2016,"m"
"Bobi",2012,"m"
"Bobi (Bengo)",2004,"m"
"Bobi (DJ)",2009,"m"
"Bobi (Milou)",2009,"m"
"Bobo",2009,"m"
"Bobo",2011,"m"
"Bobo",2007,"m"
"Bobo",2003,"m"
"Bobona",2004,"w"
"Boby",2009,"m"
"Boby",2005,"m"
"Boby",2007,"m"
"Boby",2005,"m"
"Boby",2009,"m"
"Boby (Zorro)",2005,"m"
"Boby Prinz",2015,"m"
"Bodo",2002,"m"
"Bogar",2011,"w"
"Bogar",2012,"w"
"Bogyo",2015,"m"
"Boki",2015,"m"
"Bolero",2006,"m"
"Bolero Classic",2013,"m"
"Bolimhas",2012,"m"
"Bolinha",2011,"w"
"Bolinhas",2007,"m"
"Bolinhas",2013,"m"
"Bolo (Pluto)",2014,"m"
"Bom",2017,"m"
"Boma",2008,"m"
"Bomani",2009,"m"
"Bommel",2013,"m"
"Bommel",2017,"m"
"Boncuk",2011,"w"
"Boncuk",2010,"w"
"Bond vom Köppembusch",2011,"m"
"Boneca",2014,"w"
"Boney",2015,"m"
"Bongio",2010,"m"
"Bongo",2012,"m"
"Bongo",2013,"m"
"Bongo (Dingo)",2007,"m"
"Boni",2007,"w"
"Bonita",2006,"w"
"Bonita",2007,"w"
"Bonita",2003,"w"
"Bonita",2010,"w"
"Bonita",2015,"w"
"Bonita",2004,"w"
"Bonita",2010,"w"
"Bonita v Buchegg",2014,"w"
"Bonito",2017,"m"
"Bonito",2014,"m"
"Bonitta",2004,"w"
"Bonnetime",2012,"m"
"Bonni of Clermont",2014,"m"
"Bonnie",2010,"w"
"Bonnie",2017,"w"
"Bonnie",2015,"w"
"Bonnie",2017,"w"
"Bonnie",2007,"w"
"Bonnie (Kremmi)",2010,"w"
"Bonnie Bonita",2010,"w"
"Bonny",2005,"w"
"Bonny",2010,"w"
"Bonny",2002,"w"
"Bonny",2016,"w"
"Bono",2016,"m"
"Bono",2006,"m"
"Bono",2007,"m"
"Bono",2008,"m"
"Bono",2006,"m"
"Bono",2012,"m"
"Bonsai",2007,"m"
"Bonsai",2008,"w"
"Bonsai von den Glückspfoten",2011,"m"
"Boo",2013,"m"
"Boo",2004,"w"
"Boo",2017,"m"
"Boo",2016,"m"
"Boogy",2012,"m"
"Boomer",2009,"m"
"Bootsmann Bombolo II",2008,"m"
"Born in the USA Brynn",2012,"w"
"Borre",2015,"m"
"Bosco",2010,"m"
"Bosco",2005,"m"
"Bosko",2010,"m"
"Boss",2016,"m"
"Boss",2016,"m"
"Boss",2015,"m"
"Boston",2015,"m"
"Boszi",2013,"w"
"Boubou",2005,"m"
"Boubou",2009,"m"
"Boudy Snoody Happyparadise",2016,"m"
"Boulie",2011,"w"
"Bousa",2015,"w"
"Bout de Chou",2009,"m"
"Bowie",2013,"m"
"Bowie",2016,"m"
"Bowie",2015,"m"
"Bradley",2010,"m"
"Brady",2015,"m"
"Brahms ""Brando""",2006,"m"
"Branca",2010,"w"
"Branco",2014,"m"
"Brandy",2006,"m"
"Brandy",2013,"m"
"Brauni",2014,"w"
"Bravo",2007,"m"
